mac_address,user_id,product_id,rank
TP1A.220624.014,6530,668189,124
TP1A.220624.014,6530,667861,33
TP1A.220624.014,6530,647989,2
TP1A.220624.014,6530,648039,19
TP1A.220624.014,6530,643974,1
TP1A.220624.014,6530,662493,2
TP1A.220624.014,6530,648504,30
TP1A.220624.014,6530,669277,3
TP1A.220624.014,6530,648488,77
TP1A.220624.014,6530,648503,17913
TP1A.220624.014,6530,664043,8
TP1A.220624.014,6530,648497,4
TP1A.220624.014,6530,664049,8
TP1A.220624.014,6530,668142,20
7dfbd2db-4285-4e47-bfe1-36bd735b56ef,,280,7
7dfbd2db-4285-4e47-bfe1-36bd735b56ef,,9,6
7dfbd2db-4285-4e47-bfe1-36bd735b56ef,,1392,6
7dfbd2db-4285-4e47-bfe1-36bd735b56ef,,16094,7
7dfbd2db-4285-4e47-bfe1-36bd735b56ef,,618166,4
7dfbd2db-4285-4e47-bfe1-36bd735b56ef,,641961,6
6ABFD9B0-358C-4A22-A1D1-5019C5B11477,7061,648570,6
6ABFD9B0-358C-4A22-A1D1-5019C5B11477,7061,672581,5
11f0a2df-a70e-4fbc-bd70-b7086fb274f3,,618166,4
11f0a2df-a70e-4fbc-bd70-b7086fb274f3,,280,17
784d04ca-13af-40d8-80e4-e1b027731023,,661847,47
784d04ca-13af-40d8-80e4-e1b027731023,,661814,8
784d04ca-13af-40d8-80e4-e1b027731023,,661856,20
784d04ca-13af-40d8-80e4-e1b027731023,,661844,18
784d04ca-13af-40d8-80e4-e1b027731023,,661829,7
784d04ca-13af-40d8-80e4-e1b027731023,,661820,7
784d04ca-13af-40d8-80e4-e1b027731023,,661811,7
784d04ca-13af-40d8-80e4-e1b027731023,,661901,20
784d04ca-13af-40d8-80e4-e1b027731023,,661850,22
784d04ca-13af-40d8-80e4-e1b027731023,,662436,46
784d04ca-13af-40d8-80e4-e1b027731023,,662451,5
784d04ca-13af-40d8-80e4-e1b027731023,,661853,25
784d04ca-13af-40d8-80e4-e1b027731023,,661867,22
784d04ca-13af-40d8-80e4-e1b027731023,,661841,30
784d04ca-13af-40d8-80e4-e1b027731023,,661895,20
TP1A.220624.014,4849,645657,17
TP1A.220624.014,4849,645646,2
TP1A.220624.014,4849,645645,20
TP1A.220624.014,4849,645622,10
TP1A.220624.014,4849,653343,11
TP1A.220624.014,4849,645018,3
TP1A.220624.014,4849,668142,10
TP1A.220624.014,4849,664036,2
TP1A.220624.014,4849,663702,6
TP1A.220624.014,4849,644998,2
TP1A.220624.014,4849,663156,109
TP1A.220624.014,4849,645583,4
TP1A.220624.014,4849,664053,2
TP1A.220624.014,4849,667861,60
TP1A.220624.014,4849,645008,1
TP1A.220624.014,4849,645576,12
TP1A.220624.014,4849,670204,10
TP1A.220624.014,4849,645041,6
TP1A.220624.014,4849,648584,2
TP1A.220624.014,4849,645010,2
TP1A.220624.014,4849,646799,4
TP1A.220624.014,4849,645647,4
TP1A.220624.014,4849,658831,9
TP1A.220624.014,4849,663312,2
TP1A.220624.014,4849,663712,5
TP1A.220624.014,4849,649125,6
TP1A.220624.014,4849,664011,2
TP1A.220624.014,4849,646824,8
TP1A.220624.014,4849,645040,23
TP1A.220624.014,4849,645021,21
TP1A.220624.014,4849,645588,3
TP1A.220624.014,4849,644995,4
TP1A.220624.014,4849,663117,28
TP1A.220624.014,4849,649260,3
TP1A.220624.014,4849,648580,2
TP1A.220624.014,4849,645585,4
TP1A.220624.014,4849,662509,37
TP1A.220624.014,4849,664025,5
TP1A.220624.014,4849,662883,28
TP1A.220624.014,4849,645586,2
TP1A.220624.014,4849,645626,3
TP1A.220624.014,4849,664026,3
ab4e6f99-8994-4e90-a06a-3f166a989ebb,,82,3
ab4e6f99-8994-4e90-a06a-3f166a989ebb,,81,10
808dce91-4a58-45b2-90b2-f9cc6cf0f093,,643911,38
808dce91-4a58-45b2-90b2-f9cc6cf0f093,,85,8
808dce91-4a58-45b2-90b2-f9cc6cf0f093,,83,231
3b9a1125-cce4-4872-95b9-a30971dbc971,,660307,75
3b9a1125-cce4-4872-95b9-a30971dbc971,,660280,45
3b9a1125-cce4-4872-95b9-a30971dbc971,,660289,20
3b9a1125-cce4-4872-95b9-a30971dbc971,,660283,20
3b9a1125-cce4-4872-95b9-a30971dbc971,,660286,45
3b9a1125-cce4-4872-95b9-a30971dbc971,,660313,18
3b9a1125-cce4-4872-95b9-a30971dbc971,,660292,45
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,669377,34
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,669481,12
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,672850,6
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,669442,5
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,669484,32
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,669402,5
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,669471,8
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,669401,5
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,671325,33
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,671314,97
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,672852,3
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,669397,4
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,669533,2
826cd60e-79ef-4eb5-8e39-dfeb2bdb9fd9,,671327,63
